Chartreuse Verte,Herb liqueur,37333,375 ml,France,$36.00,94%,,false,https://saq.com/en/37333
Chartreuse Jaune,Herb liqueur,13040693,750 ml,France,$66.75,87%,,false,https://saq.com/en/13040693
Chartreuse Verte V.E.P,Herb liqueur,12365365,500 ml,France,$93.75,100%,,false,https://saq.com/en/12365365
Château Croizet Bages la Chartreuse de Bages Paullac 2010,Red wine,13841327,750 ml,France,$41.75,80%,,false,https://saq.com/en/13841327
